0.0 0.0
-1.31 -1.51
-0.532 -2.17
0.0 0.0

0.0 0.0
-0.532 -2.17
0.454 -2.41
0.0 0.0

-1.35 0.436
-1.64 -0.549
0.0 0.0
-1.35 0.436

-0.416 0.909
0.0 0.0
2.77 2.08
-0.416 0.909

0.0 0.0
-0.416 0.909
-1.35 0.436
0.0 0.0

-1.64 -0.549
-1.31 -1.51
0.0 0.0
-1.64 -0.549

-1.35 0.436
-0.416 0.909
1.36 3.49
-1.35 0.436

0.454 -2.41
1.45 -2.21
0.0 0.0
0.454 -2.41

2.29 -1.66
2.88 -0.838
0.0 0.0
2.29 -1.66

3.16 0.131
0.0 0.0
2.88 -0.838
3.16 0.131

3.16 0.131
3.12 1.14
0.0 0.0
3.16 0.131

-0.416 0.909
2.16 2.89
1.36 3.49
-0.416 0.909

2.16 2.89
-0.416 0.909
2.77 2.08
2.16 2.89

2.77 2.08
0.0 0.0
3.12 1.14
2.77 2.08

1.45 -2.21
2.29 -1.66
0.0 0.0
1.45 -2.21

